"bmp","year","event","location","matrix","replicate","size_fraction","count_spectro","count_micro","is_subsample","sample_volume","sub_sample","pct_sample_processed","pct_filter_counted","unit_passing","unit","percentage_mp","back_calculated_particle_count","back_calculated_mp_particle_count","concentration_all","concentration_mp","percentage"
"Otay Mesa",1,1,"inlet 1","media",1,20,76,971,"y",0,10.08,1,0,1,"grams",0.342105263157895,0,0,0,0,0
"Otay Mesa",1,1,"inlet 1","media",1,63,96,1098,"n",0,10.08,1,1,1,"grams",0.291666666666667,96,28,96,28,21.05
"Otay Mesa",1,1,"inlet 1","media",1,125,229,1104,"n",0,10.08,1,1,1,"grams",0.262008733624454,229,60,229,60,45.11
"Otay Mesa",1,1,"inlet 1","media",1,355,22,71,"n",0,10.08,1,1,1,"grams",0.136363636363636,22,3,22,3,2.26
"Otay Mesa",1,1,"inlet 1","media",1,500,102,114,"n",0,10.08,1,1,1,"grams",0.411764705882353,102,42,102,42,31.58
"Otay Mesa",1,1,"inlet 2","media",1,20,75,96,"y",0,10.05,1,1,1,"grams",0.706666666666667,96,67.84,96,67.84,22.78
"Otay Mesa",1,1,"inlet 2","media",1,63,283,346,"n",0,10.05,1,1,1,"grams",0.575971731448763,283,163,283,163,54.73
"Otay Mesa",1,1,"inlet 2","media",1,125,133,113,"n",0,10.05,1,1,1,"grams",0.503759398496241,133,67,133,67,22.5
"Otay Mesa",1,1,"inlet 2","media",1,355,3,9,"n",0,10.05,1,1,1,"grams",0,3,0,3,0,0
"Otay Mesa",1,1,"inlet 2","media",1,500,2,5,"n",0,10.05,1,1,1,"grams",0,2,0,2,0,0
"Otay Mesa",1,1,"outlet 1","media",1,20,90,1954,"y",0,10.06,1,0.25,1,"grams",0.288888888888889,7816,2257.95555555556,7816,2257.95555555556,83.6
"Otay Mesa",1,1,"outlet 1","media",1,63,666,1152,"n",0,10.06,1,1,1,"grams",0.492492492492492,666,328,666,328,12.14
"Otay Mesa",1,1,"outlet 1","media",1,125,337,559,"n",0,10.06,1,1,1,"grams",0.281899109792285,337,95,337,95,3.52
"Otay Mesa",1,1,"outlet 1","media",1,355,54,85,"n",0,10.06,1,1,1,"grams",0.296296296296296,54,16,54,16,0.59
"Otay Mesa",1,1,"outlet 1","media",1,500,35,126,"n",0,10.06,1,1,1,"grams",0.114285714285714,35,4,35,4,0.15
"Otay Mesa",1,1,"outlet 2","media",1,20,75,5109,"y",0,10.03,1,0.42,1,"grams",0.373333333333333,12164.2857142857,4541.33333333333,12164.2857142857,4541.33333333333,92.47
"Otay Mesa",1,1,"outlet 2","media",1,63,578,2430,"n",0,10.03,1,1,1,"grams",0.373702422145329,578,216,578,216,4.4
"Otay Mesa",1,1,"outlet 2","media",1,125,308,1158,"n",0,10.03,1,1,1,"grams",0.331168831168831,308,102,308,102,2.08
"Otay Mesa",1,1,"outlet 2","media",1,355,4,90,"n",0,10.03,1,1,1,"grams",0.5,4,2,4,2,0.04
"Otay Mesa",1,1,"outlet 2","media",1,500,75,196,"y",0,10.03,1,1,1,"grams",0.253333333333333,196,49.6533333333333,196,49.6533333333333,1.01
